BE001;02/02/2022 15:25;02/02/2022 15:50;USER002;JPOCKER01;1;15.0;0
BE002;02/02/2022 15:25;02/02/2022 15:50;USER003;JPOCKER01;2;2.0;+2.0
BE003;02/02/2022 15:25;02/02/2022 15:50;USER005;JPOCKER01;3;10.0;0
BE004;02/02/2022 15:25;02/02/2022 15:50;USER004;JPOCKER01;4;18.0;0
BE005;02/02/2022 15:25;02/02/2022 15:50;USER005;JPOCKER01;5;15.0;0
BE006;02/02/2022 15:51;02/02/2022 16:30;USER006;JPOCKER02;1;20.0;0
BE007;02/02/2022 15:51;02/02/2022 16:30;USER006;JPOCKER02;2;25.0;0
BE009;02/02/2022 15:51;02/02/2022 16:30;USER001;JPOCKER02;4;12.0;-2.0
BE008;02/02/2022 15:51;02/02/2022 16:30;USER001;JPOCKER02;3;10.0;+2.0
BE010;02/02/2022 15:51;02/02/2022 16:30;USER002;JPOCKER02;5;8.0;0
BE011;02/02/2022 16:31;02/02/2022 17:10;USER003;JPOCKER03;1;5.0;+3.0
BE012;02/02/2022 16:31;02/02/2022 17:10;USER002;JPOCKER03;2;6.0;-1.0
BE013;02/02/2022 16:31;02/02/2022 17:10;USER004;JPOCKER03;3;10.0;0
BE014;02/02/2022 16:31;02/02/2022 17:10;USER005;JPOCKER03;4;18.0;0
BE015;02/02/2022 16:31;02/02/2022 17:10;USER006;JPOCKER03;5;15.0;0
BE016;02/02/2022 17:11;02/02/2022 17:40;USER006;JPOCKER04;1;10.0;+5.0
BE017;02/02/2022 17:11;02/02/2022 17:40;USER002;JPOCKER04;2;8.0;-2.0
BE018;02/02/2022 17:11;02/02/2022 17:40;USER004;JPOCKER04;3;7.0;-1.0
BE019;02/02/2022 17:11;02/02/2022 17:40;USER003;JPOCKER04;4;11.0;0
BE020;02/02/2022 17:11;02/02/2022 17:40;USER002;JPOCKER04;5;18.0;0
BE021;02/02/2022 17:41;02/02/2022 18:30;USER002;JPOCKER05;1;12.0;-3.0
BE022;02/02/2022 17:41;02/02/2022 18:30;USER001;JPOCKER05;2;14.0;+2.0
BE023;02/02/2022 17:41;02/02/2022 18:30;USER002;JPOCKER05;3;8.0;-3.0
BE024;02/02/2022 17:41;02/02/2022 18:30;USER003;JPOCKER05;4;16.0;0
BE025;02/02/2022 17:41;02/02/2022 18:30;USER005;JPOCKER05;5;9.0;0
BE026;02/02/2022 18:31;02/02/2022 19:15;USER002;JPOCKER01;1;20.0;0
BE027;02/02/2022 18:31;02/02/2022 19:15;USER003;JPOCKER01;2;12.0;-3.0
BE028;02/02/2022 18:31;02/02/2022 19:15;USER004;JPOCKER01;3;8.0;0
BE029;02/02/2022 18:31;02/02/2022 19:15;USER003;JPOCKER01;4;18.0;0
BE030;02/02/2022 18:31;02/02/2022 19:15;USER003;JPOCKER01;5;15.0;0
BE031;02/02/2022 19:16;02/02/2022 19:50;USER002;JPOCKER02;1;22.0;+2.0
BE032;02/02/2022 19:16;02/02/2022 19:50;USER001;JPOCKER02;2;16.0;-3.0
BE033;02/02/2022 19:16;02/02/2022 19:50;USER001;JPOCKER02;3;10.0;-2.0
BE034;02/02/2022 19:16;02/02/2022 19:50;USER001;JPOCKER02;4;25.0;+5.0
BE035;02/02/2022 19:16;02/02/2022 19:50;USER002;JPOCKER02;5;15.0;0
BE036;02/02/2022 19:51;02/02/2022 20:20;USER002;JPOCKER03;1;10.0;+5.0
BE037;02/02/2022 19:51;02/02/2022 20:20;USER001;JPOCKER03;2;12.0;+2.0
BE038;02/02/2022 19:51;02/02/2022 20:20;USER002;JPOCKER03;3;6.0;-4.0
BE039;02/02/2022 19:51;02/02/2022 20:20;USER005;JPOCKER03;4;18.0;0
BE040;02/02/2022 19:51;02/02/2022 20:20;USER004;JPOCKER03;5;20.0;+5.0
BE041;02/02/2022 20:21;02/02/2022 21:00;USER006;JPOCKER04;1;10.0;-3.0
BE042;02/02/2022 20:21;02/02/2022 21:00;USER003;JPOCKER04;2;8.0;-2.0
